ID_Envio,Region,Varietal,Destino,Botellas_Exportadas,Ingreso_Dolares
51726,Maipu,Malbec,Brasil,1466,18884.461686682862
52493,Maipu,Malbec,Brasil,1013,24506.11509037421
51759,Valle de Uco,Syrah,Brasil,1626,21792.60404332727
51671,Lujan de Cuyo,Syrah,UK,770,15954.244739053885
51368,Valle de Uco,Syrah,China,1308,24095.256504306646
50867,Maipu,Syrah,China,1486,19493.910943584113
50069,Maipu,Chardonnay,UK,811,19016.483127507443
51126,San Rafael,Malbec,USA,1369,23865.967904662222
52963,Valle de Uco,Cabernet Sauvignon,UK,1192,29157.139491837126
51310,San Rafael,Cabernet Sauvignon,USA,1313,22677.80776247624
52159,Lujan de Cuyo,Malbec,China,1205,20779.400418645688
52785,Valle de Uco,Malbec,Brasil,1526,15986.854896525425
50180,San Rafael,Cabernet Sauvignon,China,1120,11347.811720487416
52382,San Rafael,Syrah,Brasil,1720,26238.581094054454
50609,Lujan de Cuyo,Chardonnay,USA,636,7811.341176796628
53414,Maipu,Cabernet Sauvignon,China,900,11495.666001506255
52582,Maipu,Malbec,USA,1050,23420.973521557764
50367,Maipu,Syrah,China,758,11528.002191932914
50182,Valle de Uco,Malbec,USA,1917,20908.1759086407
51353,Maipu,Syrah,USA,1597,38310.86951283498
52369,Maipu,Cabernet Sauvignon,Brasil,1397,31412.77119161708
51478,Valle de Uco,Chardonnay,USA,1633,20960.135834674875
52229,Valle de Uco,Cabernet Sauvignon,Brasil,1509,34987.17447102102
52302,Valle de Uco,Syrah,Brasil,1375,25439.392837436368
50320,San Rafael,Chardonnay,China,897,20052.269739854368
51420,Maipu,Malbec,USA,1105,19965.61620115086
51065,Valle de Uco,Syrah,UK,1458,21011.746839404794
51066,Maipu,Syrah,China,1248,20656.520221761017
50911,San Rafael,Malbec,UK,1323,27545.17622814023
53104,Valle de Uco,Syrah,Brasil,1290,25442.206684509914
53029,Maipu,Syrah,UK,1102,26262.316351745278
51127,Lujan de Cuyo,Malbec,UK,1641,28951.288123622224
51512,Valle de Uco,Syrah,USA,846,18902.648577138516
51771,San Rafael,Chardonnay,China,1416,
53075,Lujan de Cuyo,Malbec,UK,1151,28742.568861755284
53125,San Rafael,Syrah,China,1631,18604.626403541148
52379,Valle de Uco,Cabernet Sauvignon,USA,1238,20219.20600099139
50064,Maipu,Chardonnay,USA,766,13367.558486421902
52169,San Rafael,Malbec,UK,1666,23175.596014304625
51550,Lujan de Cuyo,Chardonnay,Brasil,1395,34059.140415843474
50446,San Rafael,Malbec,UK,1405,31815.928570379376
53246,Valle de Uco,Chardonnay,UK,1087,20872.10485555233
50044,Lujan de Cuyo,Malbec,UK,1191,25475.86875517033
50534,Lujan de Cuyo,Cabernet Sauvignon,USA,1572,22969.92798706094
52651,Maipu,Cabernet Sauvignon,Brasil,771,11735.75837078654
51737,Valle de Uco,Malbec,Brasil,1365,19282.891012808937
53150,Maipu,Chardonnay,China,1021,18663.450396876215
51496,Maipu,Chardonnay,China,1657,18077.511727406865
51071,San Rafael,Syrah,USA,1252,24280.832486827447
53416,Valle de Uco,Chardonnay,USA,705,11260.712394780065
51735,San Rafael,Cabernet Sauvignon,UK,927,12743.228935393301
50267,Lujan de Cuyo,Syrah,China,985,13711.444073531075
52426,Valle de Uco,Malbec,China,1015,20687.329098414826
52120,Valle de Uco,Syrah,Brasil,1152,14105.285649896938
52816,Maipu,Syrah,Brasil,1122,24956.82909111004
52354,San Rafael,Syrah,Brasil,1340,21356.707112363456
52807,Lujan de Cuyo,Syrah,USA,615,
51205,Lujan de Cuyo,Malbec,UK,1331,14441.342435006956
51642,Valle de Uco,Chardonnay,China,835,13051.49308955961
50989,Lujan de Cuyo,Chardonnay,China,1717,36754.75513665194
50111,San Rafael,Cabernet Sauvignon,USA,1879,25821.796806438622
50142,Maipu,Malbec,Brasil,1446,20025.532073513772
