ID_Transmision,Canal,Categoria,Espectadores_Pico,Horas_Transmitidas
5681,Streamer_4681,Esports,10624.0,5.6
12311,Streamer_11311,Arte,24621.0,11.6
6210,Streamer_5210,Musica,40218.0,6.2
4142,Streamer_3142,Musica,7496.0,6.9
20972,Streamer_19972,Esports,46044.0,6.9
16878,Streamer_15878,Arte,47498.0,11.7
2096,Streamer_1096,Musica,32502.0,3.1
16660,Streamer_15660,Esports,23382.0,1.6
8468,Streamer_7468,,10873.0,5.7
18210,Streamer_17210,Esports,7232.0,3.7
13119,Streamer_12119,Gaming,23847.0,4.7
1756,Streamer_756,Just Chatting,5951.0,3.8
17179,Streamer_16179,Arte,4070.0,5.7
8929,Streamer_7929,Arte,28145.0,10.5
3258,Streamer_2258,Just Chatting,5707.0,7.5
11335,Streamer_10335,Just Chatting,35607.0,3.1
12519,Streamer_11519,Gaming,9139.0,8.5
12491,Streamer_11491,Esports,26300.0,1.5
19476,Streamer_18476,Esports,8128.0,8.5
12414,Streamer_11414,Just Chatting,12612.0,8.6
14021,Streamer_13021,Arte,22850.0,6.6
6640,Streamer_5640,Esports,9974.0,5.0
4893,Streamer_3893,Gaming,3532.0,3.7
6249,Streamer_5249,Arte,27366.0,8.6
3510,Streamer_2510,Musica,3930.0,9.8
3624,Streamer_2624,Musica,14830.0,8.6
11031,Streamer_10031,Gaming,25613.0,11.6
14189,Streamer_13189,Just Chatting,20644.0,6.9
18848,Streamer_17848,,3297.0,2.7
20534,Streamer_19534,Musica,9893.0,10.3
15028,Streamer_14028,Esports,26843.0,6.1
15829,Streamer_14829,Just Chatting,18535.0,6.8
2814,Streamer_1814,Just Chatting,47067.0,8.4
2452,Streamer_1452,Just Chatting,16667.0,2.7
14360,Streamer_13360,Gaming,47868.0,2.5
4186,Streamer_3186,Arte,35254.0,9.7
19463,Streamer_18463,Musica,11653.0,4.9
17228,Streamer_16228,Musica,18083.0,7.4
20086,Streamer_19086,Musica,30133.0,11.9
14545,Streamer_13545,Esports,24487.0,8.8
7768,Streamer_6768,Musica,20594.0,11.6
12641,Streamer_11641,Musica,24040.0,8.6
16536,Streamer_15536,Musica,28973.0,8.3
10140,Streamer_9140,Esports,31284.0,9.0
2915,Streamer_1915,Just Chatting,15862.0,7.8
14332,Streamer_13332,Esports,13809.0,11.7
13497,Streamer_12497,Musica,16284.0,4.7
4755,Streamer_3755,Musica,31243.0,3.7
12933,Streamer_11933,Gaming,4120.0,9.8
18978,Streamer_17978,Arte,23537.0,2.8
14657,Streamer_13657,Just Chatting,3645.0,4.9
6112,Streamer_5112,Gaming,13823.0,5.6
7152,Streamer_6152,Gaming,4438.0,10.3
12149,Streamer_11149,Just Chatting,27167.0,3.7
13773,Streamer_12773,Musica,962.0,9.8
18663,Streamer_17663,Arte,29586.0,3.6
1672,Streamer_672,Arte,49670.0,1.5
13845,Streamer_12845,Arte,8467.0,1.0
15878,Streamer_14878,Gaming,21005.0,3.3
11083,Streamer_10083,Just Chatting,328.0,4.0
5772,Streamer_4772,Arte,7069.0,8.6
19963,Streamer_18963,Arte,49021.0,10.9
10329,Streamer_9329,Musica,3963.0,6.6
11261,Streamer_10261,Just Chatting,35596.0,5.7
17063,Streamer_16063,Esports,30503.0,5.2
17257,Streamer_16257,Musica,46379.0,4.2
18413,Streamer_17413,Esports,22534.0,11.7
11357,Streamer_10357,Esports,45396.0,6.4
19237,Streamer_18237,Esports,29343.0,3.4
16170,Streamer_15170,Just Chatting,45682.0,5.4
15144,Streamer_14144,Gaming,9242.0,6.1
8700,Streamer_7700,Musica,18623.0,3.6
14916,Streamer_13916,Just Chatting,36478.0,9.7
7337,Streamer_6337,Arte,9386.0,2.6
7495,Streamer_6495,Just Chatting,18505.0,3.0
10125,Streamer_9125,Musica,49095.0,3.9
18889,Streamer_17889,Just Chatting,36732.0,8.3
9740,Streamer_8740,Arte,30838.0,3.5
9981,Streamer_8981,Musica,41892.0,6.9
18735,Streamer_17735,Gaming,838.0,9.8
8398,Streamer_7398,Arte,18396.0,2.7
20560,Streamer_19560,Gaming,8008.0,2.0
17797,Streamer_16797,Musica,5600.0,8.5
10498,Streamer_9498,Gaming,24690.0,11.7
1010,Streamer_10,Musica,15036.0,6.1
10915,Streamer_9915,,47793.0,1.2
20612,Streamer_19612,Gaming,6187.0,6.4
6182,Streamer_5182,Musica,41006.0,3.7
12144,Streamer_11144,Esports,11258.0,3.0
15031,Streamer_14031,Gaming,14511.0,3.4
10841,Streamer_9841,Just Chatting,25934.0,4.8
11283,Streamer_10283,Esports,3870.0,4.5
8501,Streamer_7501,Just Chatting,17918.0,10.0
17030,Streamer_16030,Just Chatting,35081.0,3.3
15070,Streamer_14070,Musica,8196.0,2.4
5967,Streamer_4967,Musica,7598.0,10.2
4752,Streamer_3752,Gaming,46553.0,5.1
16376,,Esports,33490.0,5.9
6373,Streamer_5373,Just Chatting,34914.0,10.8
11117,Streamer_10117,Gaming,40107.0,7.7
1292,Streamer_292,Gaming,30497.0,7.0
10229,Streamer_9229,Gaming,32309.0,2.8
20473,Streamer_19473,Just Chatting,3045.0,7.5
19281,Streamer_18281,Arte,1999.0,10.9
5827,Streamer_4827,Musica,1922.0,9.8
2069,Streamer_1069,Just Chatting,21185.0,1.1
8355,Streamer_7355,Esports,47251.0,7.7
3580,Streamer_2580,Arte,16594.0,8.7
9114,Streamer_8114,Musica,5152.0,6.0
13444,Streamer_12444,Musica,1553.0,8.8
6720,Streamer_5720,Esports,49300.0,6.5
11461,Streamer_10461,Just Chatting,25422.0,3.6
